name,in_stock,price,image_url,item_id
Notebook Lenovo V15 G4 IAH 83FS003PTA (Business Black),1,14690.0,https://img.advice.co.th/images_nas/pic_product4/A0153905/A0153905OK_BIG_1.jpg,A0153905
Notebook Lenovo IdeaPad 3 15IAU7 82RK014LTA (Arctic Grey),1,13390.0,https://img.advice.co.th/images_nas/pic_product4/A0157543/A0157543OK_BIG_1.jpg,A0157543
Notebook DELL Inspiron 3530-IN3530V84RM001OGTH (Carbon Black),1,16190.0,https://img.advice.co.th/images_nas/pic_product4/A0150193/A0150193OK_BIG_1.jpg,A0150193
Notebook Acer Swift Go SFG16-72-5242 (Steel Gray),1,39990.0,https://img.advice.co.th/images_nas/pic_product4/A0158884/A0158884OK_BIG_3.jpg,A0158884
Notebook Asus Vivobook Go 15 X1504GA-NJ322W (Mixed Black),1,11990.0,https://img.advice.co.th/images_nas/pic_product4/A0156902/A0156902OK_BIG_1.jpg,A0156902
Notebook Lenovo V15 G4 IAH 83FS003QTA (Business Black),1,14290.0,https://img.advice.co.th/images_nas/pic_product4/A0153904/A0153904OK_BIG_1.jpg,A0153904
Notebook Lenovo IdeaPad Slim 3 15ABR8 82XM00ACTA (Arctic Grey),1,17990.0,https://img.advice.co.th/images_nas/pic_product4/A0155609/A0155609OK_BIG_1.jpg,A0155609
Notebook Asus Vivobook 15 X1502ZA-EJ1547W (Quiet Blue),1,15990.0,https://img.advice.co.th/images_nas/pic_product4/A0156901/A0156901OK_BIG_1.jpg,A0156901
Notebook Acer Aspire 5 A515-58M-5262 (Steel Gray),1,19990.0,https://img.advice.co.th/images_nas/pic_product4/A0155878/A0155878OK_BIG_1.jpg,A0155878
Notebook Acer Swift Go SFG16-72-70FS (Steel Gray),1,42990.0,https://img.advice.co.th/images_nas/pic_product4/A0158885/A0158885OK_BIG_3.jpg,A0158885
Notebook Lenovo IdeaPad Slim 5 16IAH8 83BG000CTA (Cloud Grey),1,19890.0,https://img.advice.co.th/images_nas/pic_product4/A0151755/A0151755OK_BIG_1.jpg,A0151755
Notebook Lenovo IdeaPad Slim 3 15IAH8 83ER000JTA (Arctic Grey),1,18490.0,https://img.advice.co.th/images_nas/pic_product4/A0153502/A0153502OK_BIG_1.jpg,A0153502
Notebook Lenovo IdeaPad Slim 3 15IRH8 83EM0009TA (Arctic Grey),1,19190.0,https://img.advice.co.th/images_nas/pic_product4/A0153501/A0153501OK_BIG_1.jpg,A0153501
Notebook HP 15s-fq5335TU (Natural Silver),1,15890.0,https://img.advice.co.th/images_nas/pic_product4/A0157346/A0157346OK_BIG_2.jpg,A0157346
Notebook Lenovo IdeaPad Slim3 15IRH8 83EM006ETA (Abyss Blue),1,23290.0,https://img.advice.co.th/images_nas/pic_product4/A0157794/A0157794OK_BIG_1.jpg,A0157794
Notebook MSI Prestige 13Evo A13M-250TH (Stellar Gray),1,38990.0,https://img.advice.co.th/images_nas/pic_product4/A0156771/A0156771OK_BIG_1.jpg,A0156771
Notebook Asus Vivobook Pro 15 OLED N6506MV-MA964WS (Earl Grey),1,69990.0,https://img.advice.co.th/images_nas/pic_product4/A0157983/A0157983OK_BIG_1.jpg,A0157983
Notebook Asus Zenbook 14 OLED UX3405MA-PP989WS  (Ponder Blue),1,54990.0,https://img.advice.co.th/images_nas/pic_product4/A0157816/A0157816OK_BIG_3.jpg,A0157816
Notebook Asus Vivobook Go 15 M1504FA-NJ501WS (Indie Black),1,16490.0,https://img.advice.co.th/images_nas/pic_product4/A0151735/A0151735OK_BIG_1.jpg,A0151735
Notebook DELL Latitude 3440-SNS3440012 (Gray),1,21990.0,https://img.advice.co.th/images_nas/pic_product4/A0151907/A0151907OK_BIG_1.jpg,A0151907
Notebook Lenovo IdeaPad Slim 3 14IAH8 83EQ002YTA (Arctic Grey),1,17490.0,https://img.advice.co.th/images_nas/pic_product4/A0155331/A0155331OK_BIG_1.jpg,A0155331
Notebook HP 15s-fq5309TU (Natural Silver),1,12090.0,https://img.advice.co.th/images_nas/pic_product4/A0156738/A0156738OK_BIG_2.jpg,A0156738
Notebook Acer Aspire 5 A515-48M-R0UT (Steel Gray),1,18990.0,https://img.advice.co.th/images_nas/pic_product4/A0155251/A0155251OK_BIG_1.jpg,A0155251
Notebook Asus Vivobook 15 X1502ZA-EJ5200WS (Quiett Blue),1,16990.0,https://img.advice.co.th/images_nas/pic_product4/A0159065/A0159065OK_BIG_3.jpg,A0159065
Notebook Asus Zenbook 14 OLED UX3405MA-PP533WS (Foggy Silver),1,39490.0,https://img.advice.co.th/images_nas/pic_product4/A0158417/A0158417OK_BIG_3.jpg,A0158417
Notebook HP 15-fd0028TU (Natural Silver),1,14490.0,https://img.advice.co.th/images_nas/pic_product4/A0151909/A0151909OK_BIG_1.jpg,A0151909
Notebook Microsoft Surface Laptop Go3 i5/8/256 Platinum (XK1-00047),1,28990.0,https://img.advice.co.th/images_nas/pic_product4/A0155295/A0155295OK_BIG_1.jpg,A0155295
Notebook DELL Vostro 3435-VN3435PYCC2001OGTH (Carbon Black),1,16190.0,https://img.advice.co.th/images_nas/pic_product4/A0157772/A0157772OK_BIG_1.jpg,A0157772
Notebook Asus Vivobook 16 M1605YA-MB725WS (Indie Black),1,18990.0,https://img.advice.co.th/images_nas/pic_product4/A0158701/A0158701OK_BIG_3.jpg,A0158701
Notebook DELL Latitude 3440-SNS3440016 (Gray),1,28390.0,https://img.advice.co.th/images_nas/pic_product4/A0157783/A0157783OK_BIG_1.jpg,A0157783
Notebook HP 15-fc0055AU (Natural Silver),1,10690.0,https://img.advice.co.th/images_nas/pic_product4/A0157350/A0157350OK_BIG_3.jpg,A0157350
Notebook Acer Aspire 3 A315-24P-R70F (Pure Silver),1,13490.0,https://img.advice.co.th/images_nas/pic_product4/A0158881/A0158881OK_BIG_3.jpg,A0158881
Notebook Asus Vivobook 16 X1605ZA-MB332W (Indie Black),1,11990.0,https://img.advice.co.th/images_nas/pic_product4/A0155347/A0155347OK_BIG_1.jpg,A0155347
Notebook HP 14-ep0122TU (Natural Silver),1,10990.0,https://img.advice.co.th/images_nas/pic_product4/A0155401/A0155401OK_BIG_1.jpg,A0155401
Notebook DELL Inspiron 5645-OIN5645301201GTH (Platinum Silver),1,29190.0,https://img.advice.co.th/images_nas/pic_product4/A0159357/A0159357OK_BIG_3.jpg,A0159357
Notebook DELL Vostro 3430-VN3430VK98N001OGTH (Titan Grey),1,15490.0,https://img.advice.co.th/images_nas/pic_product4/A0157773/A0157773OK_BIG_1.jpg,A0157773
Notebook DELL Latitude 5340-SNS5340001 (Gray),1,32290.0,https://img.advice.co.th/images_nas/pic_product4/A0151899/A0151899OK_BIG_1.jpg,A0151899
Notebook HP Pavilion 15-eh3058AU (Fog Blue),1,17490.0,https://img.advice.co.th/images_nas/pic_product4/A0154288/A0154288OK_BIG_1.jpg,A0154288
Notebook Asus Vivobook 16X K3605ZU-N1506W (Indie Black),1,28990.0,https://img.advice.co.th/images_nas/pic_product4/A0158453/A0158453OK_BIG_3.jpg,A0158453
Notebook HP 15-fd0185TU (Moonlight Blue),1,15690.0,https://img.advice.co.th/images_nas/pic_product4/A0154979/A0154979OK_BIG_1.jpg,A0154979
Notebook DELL Latitude 3540-SNS3540017 (Black),1,30490.0,https://img.advice.co.th/images_nas/pic_product4/A0158438/A0158438OK_BIG_3.jpg,A0158438
Notebook Asus Vivobook 16X K3605ZU-N1594W (Indie Black),1,28990.0,https://img.advice.co.th/images_nas/pic_product4/A0155341/A0155341OK_BIG_1.jpg,A0155341
Notebook Acer Aspire Lite AL15-51M-5318 (Titanium Gray),1,15990.0,https://img.advice.co.th/images_nas/pic_product4/A0157209/A0157209OK_BIG_1.jpg,A0157209
Notebook Asus Vivobook 16X K3605ZV-N1518W (Indie Black),1,31990.0,https://img.advice.co.th/images_nas/pic_product4/A0155342/A0155342OK_BIG_1.jpg,A0155342
Notebook Asus Zenbook S 13 OLED UM5302LA-LV755WS (Refined White),1,34990.0,https://img.advice.co.th/images_nas/pic_product4/A0153794/A0153794OK_BIG_1.jpg,A0153794
Notebook Asus Vivobook 14 X1405VA-LY950WS (Indie Black),1,28990.0,https://img.advice.co.th/images_nas/pic_product4/A0156900/A0156900OK_BIG_1.jpg,A0156900
Notebook Lenovo V15 G4 IAH 83FS003NTA (Business Black),1,14690.0,https://img.advice.co.th/images_nas/pic_product4/A0153903/A0153903OK_BIG_1.jpg,A0153903
Notebook Lenovo IdeaPad Slim 3 15ABR8 82XM003NTA (Arctic Grey),1,17990.0,https://img.advice.co.th/images_nas/pic_product4/A0150956/A0150956OK_BIG_1.jpg,A0150956
Notebook Lenovo V15 G4 IRU 83A100CWTA (Business Black),1,14190.0,https://img.advice.co.th/images_nas/pic_product4/A0157482/A0157482OK_BIG_1.jpg,A0157482
Notebook MSI Modern 15 B13M-856TH (Classic Black),1,18990.0,https://img.advice.co.th/images_nas/pic_product4/A0157936/A0157936OK_BIG_3.jpg,A0157936
Notebook Asus Vivobook 16X K3605ZC-N1787W (Indie Black),1,29990.0,https://img.advice.co.th/images_nas/pic_product4/A0151914/A0151914OK_BIG_1.jpg,A0151914
Notebook Acer TravelMate TMP214-55-304Y/T008 (Steel Gray),1,16690.0,https://img.advice.co.th/images_nas/pic_product4/A0154389/A0154389OK_BIG_1.jpg,A0154389
Notebook Asus Vivobook Go 15 M1504FA-L1536WS (Indie Black),1,15990.0,https://img.advice.co.th/images_nas/pic_product4/A0151792/A0151792OK_BIG_1.jpg,A0151792
Notebook Lenovo IdeaPad Slim 5 16ABR8 82XG004NTA (Cloud Grey),1,18490.0,https://img.advice.co.th/images_nas/pic_product4/A0152819/A0152819OK_BIG_1.jpg,A0152819
Notebook Asus Vivobook 15 M1504FA-NJ366W (Mixed Black),1,12490.0,https://img.advice.co.th/images_nas/pic_product4/A0153872/A0153872OK_BIG_1.jpg,A0153872
Notebook HP 15s-fq5308TU (Natural silver),1,16490.0,https://img.advice.co.th/images_nas/pic_product4/A0156739/A0156739OK_BIG_2.jpg,A0156739
Notebook Acer TravelMate TMP215-54-57G0/T002 (Black),1,17790.0,https://img.advice.co.th/images_nas/pic_product4/A0150988/A0150988OK_BIG_1.jpg,A0150988
Notebook DELL Inspiron 3530-IN3530NM1NN001OGTH (Carbon Black),1,20890.0,https://img.advice.co.th/images_nas/pic_product4/A0150194/A0150194OK_BIG_1.jpg,A0150194
Notebook Asus ExpertBook B1402CBA-EB0557 (Star Black),1,15990.0,https://img.advice.co.th/images_nas/pic_product4/A0153567/A0153567OK_BIG_1.jpg,A0153567
Notebook DELL Latitude  3440-SNS3440021 (Black),1,23090.0,https://img.advice.co.th/images_nas/pic_product4/A0157926/A0157926OK_BIG_3.jpg,A0157926
Notebook Lenovo IdeaPad Slim 5 16IRL8 82XF003ATA (Cloud Grey),1,23990.0,https://img.advice.co.th/images_nas/pic_product4/A0151754/A0151754OK_BIG_1.jpg,A0151754
Notebook Lenovo ThinkPad E15 G4 21E6S11X00 (Graphite Black),1,25590.0,https://img.advice.co.th/images_nas/pic_product4/A0157768/A0157768OK_BIG_1.jpg,A0157768
Notebook Asus Vivobook 14 X1405ZA-LY707WS (Indle Black),1,22990.0,https://img.advice.co.th/images_nas/pic_product4/A0157743/A0157743OK_BIG_1.jpg,A0157743
Notebook Asus Vivobook 16 X1605VA-MB522WS (Indie Black),1,20990.0,https://img.advice.co.th/images_nas/pic_product4/A0151789/A0151789OK_BIG_1.jpg,A0151789
Notebook HP 15-fd0030TX (Natural Silver),1,18890.0,https://img.advice.co.th/images_nas/pic_product4/A0157347/A0157347OK_BIG_3.jpg,A0157347
Notebook Acer Aspire Go AG15-31P-30EJ (Pure Silver),1,12990.0,https://img.advice.co.th/images_nas/pic_product4/A0157872/A0157872OK_BIG_3.jpg,A0157872
Notebook Acer Aspire 3 A315-24P-R6SK (Pure Silver),1,15990.0,https://img.advice.co.th/images_nas/pic_product4/A0153252/A0153252OK_BIG_1.jpg,A0153252
Notebook HP 15-fc0115AU (Natural Silver),1,16790.0,https://img.advice.co.th/images_nas/pic_product4/A0155400/A0155400OK_BIG_1.jpg,A0155400
Notebook Lenovo IdeaPad 1 15ALC7 82R400J9TA (Cloud Grey),1,14990.0,https://img.advice.co.th/images_nas/pic_product4/A0157121/A0157121OK_BIG_1.jpg,A0157121
Notebook Acer Extensa EX215-55-332L/T006 (Steel Gray),1,13990.0,https://img.advice.co.th/images_nas/pic_product4/A0158448/A0158448OK_BIG_3.jpg,A0158448
Notebook Lenovo V15 G4 IRU 83A100CTTA (Business Black),1,12290.0,https://img.advice.co.th/images_nas/pic_product4/A0157326/A0157326OK_BIG_1.jpg,A0157326
Notebook Lenovo IdeaPad Slim3 15IRU8 82X70062TA (Arctic Grey),1,13590.0,https://img.advice.co.th/images_nas/pic_product4/A0154386/A0154386OK_BIG_1.jpg,A0154386
Notebook Lenovo IdeaPad Slim 3 15AMN8 82XQ00C2TA (Arctic Grey),1,15490.0,https://img.advice.co.th/images_nas/pic_product4/A0153854/A0153854OK_BIG_1.jpg,A0153854
Notebook Acer Aspire 5 A515-58M-33PU (Steel Gray),1,14990.0,https://img.advice.co.th/images_nas/pic_product4/A0153879/A0153879OK_BIG_1.jpg,A0153879
Notebook Lenovo IdeaPad 1 15ALC7 82R400GATA (Cloud Grey),1,13990.0,https://img.advice.co.th/images_nas/pic_product4/A0156642/A0156642OK_BIG_1.jpg,A0156642
Notebook Lenovo IdeaPad Slim 3 15AMN8 82XQ00C1TA (Arctic Grey),1,11990.0,https://img.advice.co.th/images_nas/pic_product4/A0153865/A0153865OK_BIG_1.jpg,A0153865
Notebook Lenovo IdeaPad3 15IAU7 82RK00K7TA (Arctic Grey),1,13490.0,https://img.advice.co.th/images_nas/pic_product4/A0152548/A0152548OK_BIG_1.jpg,A0152548
Notebook Acer Aspire 3 A315-44P-R11P (Pure Silver),1,16990.0,https://img.advice.co.th/images_nas/pic_product4/A0155879/A0155879OK_BIG_1.jpg,A0155879
Notebook Acer Swift Go 14 SFG14-41-R2QM (Pure Silver),1,17990.0,https://img.advice.co.th/images_nas/pic_product4/A0148562/A0148562OK_BIG_1.jpg,A0148562
Notebook Microsoft Surface Pro9 i5/8/256 Thai Sapphire (QEZ-00051),1,40590.0,https://img.advice.co.th/images_nas/pic_product4/A0147499/A0147499OK_BIG_1.jpg,A0147499
Notebook Gigabyte AORUS 15 BSF-73TH754SH (Black),1,45990.0,https://img.advice.co.th/images_nas/pic_product4/A0149504/A0149504OK_BIG_1.jpg,A0149504
Notebook MSI Thin GF63 12UC-1091TH (Black),1,24990.0,https://img.advice.co.th/images_nas/pic_product4/A0156788/A0156788OK_BIG_1.jpg,A0156788
Notebook Asus Vivobook S14 Flip TP3402VA-LZ317WS (Quiet Blue),1,21990.0,https://img.advice.co.th/images_nas/pic_product4/A0156899/A0156899OK_BIG_4.jpg,A0156899
Notebook Gigabyte AORUS 15X ASF-B3TH754SH (Black),1,65990.0,https://img.advice.co.th/images_nas/pic_product4/A0149510/A0149510OK_BIG_1.jpg,A0149510
Notebook Microsoft Surface Pro 9 i7/16/512 Graphite (QIX-00034),1,65390.0,https://img.advice.co.th/images_nas/pic_product4/A0149861/A0149861OK_BIG_1.jpg,A0149861
Notebook Gigabyte G6X 9MG-42TH854SH (Black),1,39990.0,https://img.advice.co.th/images_nas/pic_product4/A0159367/A0159367OK_BIG_3.jpg,A0159367
Notebook Asus ROG Strix G18 G814JVR-N6019W (Eclipse Gray),1,74990.0,https://img.advice.co.th/images_nas/pic_product4/A0157028/A0157028OK_BIG_2.jpg,A0157028
Notebook HP Victus 15-fb2022AX (A05GHPA#AKL),1,37890.0,https://img.advice.co.th/images_nas/pic_product4/A0158948/A0158948OK_BIG_3.jpg,A0158948
Notebook MSI Bravo 15 C7UDX-260TH (Black),1,26990.0,https://img.advice.co.th/images_nas/pic_product4/A0155647/A0155647OK_BIG_1.jpg,A0155647
Notebook Lenovo LOQ 15IAX9I 83GS001GTA (Luna Grey),1,25990.0,https://img.advice.co.th/images_nas/pic_product4/A0158809/A0158809OK_BIG_3.jpg,A0158809
Notebook Asus TUF Gaming A15 FA507NU-LP031W (Mecha Gray),1,34990.0,https://img.advice.co.th/images_nas/pic_product4/A0149931/A0149931OK_BIG_1.jpg,A0149931
Notebook Acer Nitro V 15 ANV15-51-578S (Obsidian black),1,22990.0,https://img.advice.co.th/images_nas/pic_product4/A0154780/A0154780OK_BIG_1.jpg,A0154780
Notebook Microsoft Surface Pro9 i5/8/256 Thai Forest (QEZ-00068),1,40590.0,https://img.advice.co.th/images_nas/pic_product4/A0147500/A0147500OK_BIG_1.jpg,A0147500
Notebook Asus ROG Flow Z13 GZ301VV-MU020WS (Black),1,69990.0,https://img.advice.co.th/images_nas/pic_product4/A0152949/A0152949OK_BIG_1.jpg,A0152949
Notebook HP Victus 16-r1130TX (9Y8H0PA#AKL),1,47890.0,https://img.advice.co.th/images_nas/pic_product4/A0158952/A0158952OK_BIG_3.jpg,A0158952
Notebook Acer Predator Helios Neo 16 PHN16-72-98J4 (Abyssal Black),1,59990.0,https://img.advice.co.th/images_nas/pic_product4/A0157876/A0157876OK_BIG_3.jpg,A0157876
Notebook Acer Predator Helios Neo 16 PHN16-71-58MD (Obsidian Black),1,35990.0,https://img.advice.co.th/images_nas/pic_product4/A0150559/A0150559OK_BIG_1.jpg,A0150559
Notebook Lenovo LOQ 15APH8 82XT009KTA (Storm Grey),1,27190.0,https://img.advice.co.th/images_nas/pic_product4/A0157486/A0157486OK_BIG_3.jpg,A0157486
Notebook Lenovo Legion 5 16IRX8 82WK0013TA (Storm Grey),1,52890.0,https://img.advice.co.th/images_nas/pic_product4/A0150672/A0150672OK_BIG_1.jpg,A0150672
Notebook HP Omen 16-wf0181TX (9R8T9PA#AKL),1,48890.0,https://img.advice.co.th/images_nas/pic_product4/A0157354/A0157354OK_BIG_3.jpg,A0157354
