name,rank,year
The Shawshank Redemption,9.3,1994
The Godfather,9.2,1972
The Dark Knight,9.0,2008
The Godfather: Part II,9.0,1974
12 Angry Men,9.0,1957
Schindler's List,9.0,1993
The Lord of the Rings: The Return of the King,9.0,2003
Pulp Fiction,8.9,1994
The Lord of the Rings: The Fellowship of the Ring,8.9,2001
"Il Buono, Il Brutto, Il Cattivo",8.8,1966
Forrest Gump,8.8,1994
The Lord of the Rings: The Two Towers,8.8,2002
Fight Club,8.8,1999
Inception,8.8,2010
Star Wars: Episode V - The Empire Strikes Back,8.7,1980
The Matrix,8.7,1999
GoodFellas,8.7,1990
One Flew Over the Cuckoo's Nest,8.7,1975
Se7en,8.6,1995
Interstellar,8.7,2014
It's a Wonderful Life,8.6,1946
Shichinin No Samurai,8.6,1954
The Silence of the Lambs,8.6,1991
Saving Private Ryan,8.6,1998
City of God,8.6,2002
Life Is Beautiful,8.6,1997
The Green Mile,8.6,1999
Dune: Part Two,8.6,2024
Terminator 2: Judgment Day,8.6,1991
Star Wars: Episode IV - A New Hope,8.6,1977
Back to the Future,8.5,1985
Spirited Away,8.6,2001
The Pianist,8.5,2002
Parasite,8.5,2019
Psycho,8.5,1960
Spider-man: Across the Spider-verse,8.6,2023
Gladiator,8.5,2000
The Lion King,8.5,1994
The Departed,8.5,2006
Léon,8.5,1994
American History X,8.5,1998
Whiplash,8.5,2014
The Prestige,8.5,2006
Grave of the Fireflies,8.5,1988
Seppuku,8.6,1962
The Usual Suspects,8.5,1995
Casablanca,8.5,1942
Intouchables,8.5,2011
Cinema Paradiso,8.5,1988
Modern Times,8.5,1936
Rear Window,8.5,1954
C'era Una Volta Il West,8.5,1968
Alien,8.5,1979
City Lights,8.5,1931
Django Unchained,8.5,2012
Apocalypse Now,8.4,1979
Memento,8.4,2000
12th Fail,8.9,2023
WALL·E,8.4,2008
Raiders of the Lost Ark,8.4,1981
Das Leben der Anderen,8.4,2006
Sunset Blvd.,8.4,1950
Avengers: Infinity War,8.4,2018
Paths of Glory,8.4,1957
Spider-Man: Into the Spider-Verse,8.4,2018
Witness for the Prosecution,8.4,1957
The Shining,8.4,1980
The Great Dictator,8.4,1940
Alien 2,8.4,1986
Inglourious Basterds,8.4,2009
The Dark Knight Rises,8.4,2012
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964
Coco,8.4,2017
American Beauty,8.3,1999
Oldeuboi,8.3,2003
Amadeus,8.4,1984
Toy Story,8.3,1995
Avengers: Endgame,8.4,2019
Das Boot,8.4,1981
Braveheart,8.3,1995
Good Will Hunting,8.3,1997
Mononoke-hime,8.3,1997
Joker,8.4,2019
Kimi No Na Wa.,8.4,2016
Tengoku to Jigoku,8.4,1963
Once Upon a Time in America,8.3,1984
3 Idiots,8.4,2009
Singin' in the Rain,8.3,1952
Capharnaüm,8.4,2018
Idi I Smotri,8.4,1985
Requiem for a Dream,8.3,2000
Toy Story 3,8.3,2010
Star Wars: Episode VI - Return of the Jedi,8.3,1983
Eternal Sunshine of the Spotless Mind,8.3,2004
Jagten,8.3,2012
2001: A Space Odyssey,8.3,1968
Oppenheimer,8.3,2023
Reservoir Dogs,8.3,1992
Ikiru,8.3,1952
Lawrence of Arabia,8.3,1962
The Apartment,8.3,1960
Incendies,8.3,2010
North by Northwest,8.3,1959
Citizen Kane,8.3,1941
M - Eine Stadt sucht einen Mörder,8.3,1931
Vertigo,8.3,1958
Scarface,8.3,1983
Double Indemnity,8.3,1944
Full Metal Jacket,8.3,1987
Le fabuleux destin d'Amélie Poulain,8.3,2001
Heat,8.3,1995
A Clockwork Orange,8.3,1971
Up,8.3,2009
To Kill a Mockingbird,8.3,1962
Jodaeiye Nader Az Simin,8.3,2011
The Sting,8.3,1973
Indiana Jones and the Last Crusade,8.2,1989
Die Hard,8.2,1988
Taare Zameen Par,8.3,2007
Metropolis,8.3,1927
Snatch,8.2,2000
Hamilton,8.3,2020
L.A. Confidential,8.2,1997
1917,8.2,2019
Ladri Di Biciclette,8.3,1948
Taxi Driver,8.2,1976
Der Untergang,8.2,2004
Dangal,8.3,2016
Per qualche dollaro in più,8.2,1965
Batman Begins,8.2,2005
The Wolf of Wall Street,8.2,2013
Some Like It Hot,8.2,1959
Green Book,8.2,2018
The Kid,8.2,1921
The Father,8.2,2020
Judgment at Nuremberg,8.3,1961
The Truman Show,8.2,1998
All About Eve,8.2,1950
Top Gun: Maverick,8.2,2022
Shutter Island,8.2,2010
There Will Be Blood,8.2,2007
Casino,8.2,1995
Jurassic Park,8.2,1993
Ran,8.2,1985
The Sixth Sense,8.2,1999
El Laberinto Del Fauno,8.2,2006
Unforgiven,8.2,1992
No Country for Old Men,8.2,2007
A Beautiful Mind,8.2,2001
The Thing,8.2,1982
Kill Bill: Vol. 1,8.2,2003
The Treasure of the Sierra Madre,8.2,1948
Yojimbo,8.2,1961
Monty Python and the Holy Grail,8.2,1975
The Great Escape,8.2,1963
Finding Nemo,8.2,2003
Prisoners,8.2,2013
Rashōmon,8.2,1950
Hauru No Ugoku Shiro,8.2,2004
The Elephant Man,8.2,1980
Chinatown,8.1,1974
Dial M for Murder,8.2,1954
Gone with the Wind,8.2,1939
V for Vendetta,8.2,2005
"Lock, Stock and Two Smoking Barrels",8.1,1998
El Secreto De Sus Ojos,8.2,2009
Inside Out,8.1,2015
Raging Bull,8.1,1980
"Three Billboards Outside Ebbing, Missouri",8.1,2017
Trainspotting,8.1,1996
The Bridge on the River Kwai,8.1,1957
Klaus,8.2,2019
Fargo,8.1,1996
Spider-Man: No Way Home,8.2,2021
Catch Me If You Can,8.1,2002
Warrior,8.1,2011
Gran Torino,8.1,2008
My Neighbour Totoro,8.1,1988
Million Dollar Baby,8.1,2004
Harry Potter and the Deathly Hallows: Part 2,8.1,2011
Bacheha-Ye Aseman,8.2,1997
12 Years a Slave,8.1,2013
Blade Runner,8.1,1982
Ben-Hur,8.1,1959
Before Sunrise,8.1,1995
Barry Lyndon,8.1,1975
The Grand Budapest Hotel,8.1,2014
Gone Girl,8.1,2014
Hacksaw Ridge,8.1,2016
The Gold Rush,8.1,1925
Salinui Chueok,8.1,2003
In the Name of the Father,8.1,1993
Dead Poets Society,8.1,1989
Mad Max: Fury Road,8.1,2015
Relatos Salvajes,8.1,2014
The Deer Hunter,8.1,1978
The General,8.1,1926
"Monsters, Inc.",8.1,2001
On the Waterfront,8.1,1954
Sherlock Jr.,8.2,1924
Jaws,8.1,1975
How to Train Your Dragon,8.1,2010
The Third Man,8.1,1949
Le Salaire De La Peur,8.2,1953
Mary and Max,8.1,2009
Smultronstället,8.1,1957
Mr. Smith Goes to Washington,8.1,1939
Ratatouille,8.1,2007
Ford v. Ferrari,8.1,2019
Tokyo Story,8.1,1953
The Big Lebowski,8.1,1998
Room,8.1,2015
Det Sjunde Inseglet,8.1,1957
Rocky,8.1,1976
Logan,8.1,2017
Spotlight,8.1,2015
Hotel Rwanda,8.1,2004
The Terminator,8.1,1984
Platoon,8.1,1986
La passion de Jeanne d'Arc,8.1,1928
La haine,8.1,1995
Before Sunset,8.1,2004
The Best Years of Our Lives,8.1,1946
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,2003
The Exorcist,8.1,1973
Jai Bhim,8.7,2021
Rush,8.1,2013
Network,8.1,1976
The Wizard of Oz,8.1,1939
Stand by Me,8.1,1986
The Incredibles,8.0,2004
Hachi: A Dog's Tale,8.1,2009
Ah-ga-ssi,8.1,2016
Into the Wild,8.1,2007
My Father and My Son,8.2,2005
The Sound of Music,8.1,1965
To Be or Not to Be,8.1,1942
La battaglia di Algeri,8.1,1966
Groundhog Day,8.0,1993
The Grapes of Wrath,8.1,1940
Amores perros,8.1,2000
The Iron Giant,8.1,1999
Rebecca,8.1,1940
Cool Hand Luke,8.1,1967
The Help,8.1,2011
It Happened One Night,8.1,1934
Dances with Wolves,8.0,1990
Aladdin,8.0,1992
Drishyam,8.2,2015
Gangs of Wasseypur,8.2,2012
